Frequency, Impedance
200005, 769.330861
200995, 766.324624
202155, 767.011321
203260, 760.716168
204005, 762.467196
205060, 764.025833
206075, 758.634402
206850, 757.862109
208380, 755.722986
208900, 753.783747
209995, 750.486408
211200, 746.198771
212090, 744.196469
212995, 747.717465
213785, 743.345110
214840, 739.544560
215960, 729.752389
216955, 735.706098
218505, 731.232905
218540, 729.630763
219915, 727.494281
220595, 720.254944
222205, 731.017214
222925, 720.837187
223995, 727.470868
224990, 723.937640
225805, 718.681962
226890, 719.996009
227840, 711.542936
228860, 711.129283
230140, 704.661223
230960, 695.065190
231940, 692.315075
232700, 689.065168
234130, 677.952684
234920, 674.943780
236030, 673.165676
237055, 676.616611
237920, 681.940885
239020, 678.844141
240380, 671.902089
240500, 674.929515
241920, 673.133404
243115, 675.650983
243970, 685.066109
244995, 684.834445
245760, 689.339681
246920, 689.816337
247610, 687.249725
248605, 691.033349
250105, 683.376063
251310, 682.531851
251995, 679.144351
253155, 676.439153
253955, 676.783949
254975, 666.833427
255995, 661.533694
257025, 652.121629
257795, 643.021458
259075, 617.469862
260085, 596.154839
260995, 577.388634
262145, 640.868382
262500, 646.712089
264000, 668.169761
265155, 669.028812
266015, 667.676596
266900, 676.473761
268035, 680.943024
269055, 672.113882
270065, 673.327505
270920, 669.197765
272130, 662.062034
273150, 660.767731
273920, 654.526048
275045, 650.554341
275520, 649.336426
276740, 648.268626
278015, 640.584029
279035, 635.890172
279990, 637.692937
280905, 632.084778
282110, 621.780896
282875, 616.665218
284075, 612.760429
285225, 598.473266
286215, 592.544160
286975, 587.400472
288000, 569.204955
288920, 557.750781
290045, 532.060092
290830, 501.395229
292025, 457.280340
293105, 424.165870
293950, 475.928786
294915, 594.462070
295950, 645.592450
297210, 674.640062
297980, 677.695053
299010, 677.894436
299975, 675.405835
301055, 673.383171
301905, 666.146887
303450, 657.876158
303840, 655.799749
304640, 649.732221
305915, 641.999800
307150, 633.858764
308060, 623.663759
308995, 619.389387
309855, 617.406266
310970, 625.277303
311810, 620.991097
313145, 613.948633
314105, 608.543132
314995, 594.026362
315930, 581.931263
316850, 595.048844
317990, 620.065067
318740, 621.465251
320000, 617.785827
320940, 609.205669
321915, 599.878393
322830, 598.720890
324100, 580.109286
325035, 572.446259
325865, 568.091346
327500, 605.921812
327680, 607.945016
329130, 618.930645
330225, 614.148811
330850, 613.507750
332060, 612.342120
332840, 610.168854
334020, 604.800505
335075, 602.633446
335875, 597.819788
337150, 593.686635
338000, 596.329755
338685, 596.125368
339970, 585.309369
341065, 587.515792
341870, 587.358322
343025, 582.779253
344065, 584.589127
344860, 580.199688
345915, 577.333963
347030, 578.250944
347905, 577.933178
